row_index,conversation_id,split
46,2782,train
47,2782,train
48,2782,train
68,4935,train
108,12039,validation
109,12039,validation
141,14390,train
142,14390,train
146,14899,train
149,14905,train
175,16159,train
242,25991,train
253,28513,train
254,28513,train
264,29003,train
266,29006,train
312,32052,train
343,35372,train
344,35372,train
349,35381,train
350,35381,train
363,38287,train
364,38287,train
380,38933,train
404,40606,train
411,40618,train
412,40618,train
415,41727,train
433,41763,train
434,41763,train
481,44192,train
520,48048,validation
521,48048,validation
610,53109,train
611,53109,train
628,54522,validation
629,54522,validation
745,61146,train
880,74931,train
881,74931,train
944,79473,train
945,79473,train
962,79502,train
963,79502,train
979,79531,train
1067,83761,validation
1068,83761,validation
1077,83775,train
1078,83775,train
1089,83775,train
1090,83775,train
1096,83775,train
1140,89600,train
1145,89609,train
1175,93987,validation
1237,97692,train
1263,100237,train
1272,102249,train
1289,104182,train
1290,104182,train
1333,108352,train
1400,112065,train
1401,112065,train
1402,112065,train
1449,113917,validation
1455,113924,validation
1469,113964,train
1482,115368,validation
1483,115368,validation
1503,116676,validation
1507,116685,train
1523,118926,validation
1564,120320,train
1567,120323,train
1622,124879,train
1653,126916,train
1681,131843,train
1702,132623,train
1703,132623,train
1709,133972,train
1747,137201,train
1754,137217,validation
1778,139121,train
1802,140132,train
1807,140140,train
1808,140140,train
1830,141248,train
1888,144268,train
1922,149388,train
2013,155289,train
2014,155289,train
2041,155340,validation
2077,156918,train
2078,156920,train
2079,156920,train
2130,160455,validation
2169,162201,train
2173,163669,train
2221,166571,train
2233,166596,train
2237,166605,train
2273,169657,train
2305,171085,train
2340,174602,validation
2355,177401,train
2400,185397,train
2401,185397,train
2402,185397,train
2414,207301,train
2415,207301,train
2443,225430,train
2449,225444,train
2450,225444,train
2451,228369,train
2452,228369,train
2495,249646,train
2496,249646,train
2510,252762,validation
2636,305954,validation
2637,305954,validation
2638,305954,validation
2732,369459,train
2748,370221,train
2749,370221,train
2750,370221,train
2764,370862,train
2765,370862,train
2766,370862,train
2767,370862,train
2826,397889,train
2834,397889,train
2836,397889,train
2842,397889,train
2844,397889,train
2866,397889,train
2867,397889,train
2874,397889,train
2885,397889,train
2886,397889,train
2887,397889,train
2896,397889,train
2916,397889,train
2922,397889,train
2940,397889,train
2967,397889,train
2968,397889,train
3049,398516,train
3054,398523,validation
3067,398944,train
3068,398944,train
3166,440201,train
