"conversation_id","conversation_length","customer_message_count","tesco_support_message_count","first_customer_tweet_id","first_customer_message","all_customer_messages","all_tesco_support_messages","candidate_review_status","evaluation_incoming_tweet_id","evaluation_incoming_message","human_intent","annotator_confidence","is_multi_intent","secondary_issue_present","annotation_notes","annotation_status","parent_tweet_missing","reconstruction_note","candidate_intent_screening","candidate_score_screening","candidate_basis_screening","exact_duplicate_risk","near_duplicate_risk","review_pool_reason"
"2531","28","22","6","2527","@Tesco I did thank you","@Tesco I did thank you || @Tesco I did thanks 😁 || So @tesco when you say 'early hours' for the delivery saver Christmas slots, just how early please, lunch in the Ashes, or first drinks break? Cheers. || @116302 @Tesco midnight apparently! || @116303 @Tesco Really, OK ta. || @Tesco If you can actually get onto the website to order ...... || @Tesco @116302 @116303 Except your website is just saying it's busy so won't load!!!!!! || @Tesco @116302 @116303 No they’re not 🤔 https://t.co/7HMIQXfyMQ || @116309 @Tesco Not just us then! Queue time! || @Tesco @116302 @116303 None on there || @Tesco @116302 @116303 😡😡😡😡😡 still waiting and got the bowl of cherries || @116308 @Tesco @116302 I've just booked my slot for 23rd || @Tesco @116302 @116303 What a joke. Queuing for Xmas slots!!! || @116310 @Tesco Stick with it. I’ve just got through after a 20 min wait. || @Tesco @116302 @116303 What’s the problem Tesco’s? Why is website busy !!!!!! || @Tesco @116303 I'm in and have booked, cheers. || @Tesco @116302 @116303 They only seem to have released 23rd?! Furious!! 😡 || @116302 @Tesco glad your sorted! || @116304 @Tesco @116302 some areas are not having a 24th delivery apparently || @116304 @Tesco @116302 Tesco said to me when i asked, only customers in our Fulfillment Centres can get Christmas Eve slots (London mainly) || @116303 @Tesco Cheers, all the best. || @Tesco Thank you, yes. Gave up at midnight. Went to bed, got up at 7, and got a reasonable slot.","@116311 That's great Sarah :) did you get the slot you wanted? - Mike || @116302 @116303 Hi Benny, sorry for the delay in replying! They're available now for our Delivery Saver customers :) Thanks - Emma || @116311 Hello Sarah! I'm so sorry about this! Did you manage to get online in the end? TY - Eilish || @116306 Hello Julia! Did you manage to get on the website in the end? TY - Eilish || @116305 Hello Kerrie, we were very busy first thing this morning when the slots went live. Can you let me know if you managed to get on in the end? TY - Eilish || @116306 Oh perfect! :) Thanks for letting me know! TY - Eilish","not_annotated","2512","@Tesco If you can actually get onto the website to order ......","delivery_order","high","yes","yes","The thread is primarily about accessing and booking Christmas delivery slots. The customer first refers to the availability of Delivery Saver slots, then reports that the Tesco website is too busy to load. The website problem is a secondary issue; there is no need to create a separate target intent for it under the frozen taxonomy.","annotated","","","","","","","",""
"29141","24","11","9","29143","@sainsburys Thanks, Dan. I'm very grateful.","@sainsburys Thanks, Dan. I'm very grateful. || @sainsburys So do I. I'm desperate. || @sainsburys @tesco Hi both, apparently Dunn's River has discontinued its Jerk Seasoning. It's selling for £18 a bottle on Amazon. Can you have a word? || @Tesco @sainsburys Is that the dry seasoning? || @Tesco @sainsburys No, this is the one I am on about: https://t.co/7wrUxBMHrl || @Tesco @sainsburys You usually do - at you Old Kent Road branch. Please do put a suggestion in on my behalf! || .@tesco and @sainsburys, why have supplies of Dunn's River jerk seasoning dried up? || @Tesco @sainsburys Tropical Sun won't do. || @sainsburys Thanks, Steven. Balham or any of the branches near Borough/Bermondsey. || @Tesco Hi Lara, thanks for getting in touch. It's the Old Kent Road Tesco. || @Tesco thank you!","@122413 @sainsburys Hey Louis, our Southwark Superstore are still showing stock of this product and seem to be getting them in regularly. 1/2 || @122413 @sainsburys These are showing at only 95p for a 100g bottle. Kind regards - Kirsten 2/2 || @122413 @sainsburys Hi Louis, can you confirm if this is the one you are on about? https://t.co/PyTCD3sfFi Ty- Darren || @122413 @sainsburys Hi Louis, unfortunately I cannot see that we stock this product, however I would be happy to put a suggestion in on your behalf - Darren || @122413 Hi Louis, if you DM with your full name and email I can log your suggestion on our system for your store. 1/2 || @122413 May I suggest that next time you are in store, you fill out Customer Comment Card. You can make suggestion at our Customer Service Desk. 2/2 || @122413 Good afternoon Louis. To have a look into this for you, can you please DM me your postcode or your local store you visit? Thanks - Lara. || @122413 Hi Louis, our Southwark Superstore is getting them delivered regularly. They have 12 in stock. 1/2 || @122413 If you're unable to find them on your next visit then please discuss this with a staff member. the product code is 052112480. Paras 2/2","not_annotated","29141",".@tesco and @sainsburys, why have supplies of Dunn's River jerk seasoning dried up?","product_availability","high","yes","yes","The customer’s main issue is that Dunn’s River jerk seasoning is no longer available/stocked, and they want to know where they can obtain it. Later, they explicitly ask Tesco to put in a suggestion to stock the product again at their store.","annotated","","","","","","","",""
"31574","6","3","3","61156","@Tesco Thank you","@Tesco Thank you || @Tesco 《 as our main branch but due to moving postcode you wont allow this.needs sorting or customer of 6yrs is changing her supermarket || @Tesco Thanks. Sent the details.","@122964 Hi Clare, I'm so sorry there were a number of issues with the order, I appreciate how disappointing this must have been. 1/2 || @122964 Please could you DM your full name, address and email address? These details will help us find the online account. Thanks - Terri 2/2 || @122964 Hi Clare, I have replied to your DM. TY - Chris","not_annotated","31574","@Tesco 《 as our main branch but due to moving postcode you wont allow this.needs sorting or customer of 6yrs is changing her supermarket","delivery_order","high","no","no","The customer is complaining about an issue with their Tesco online order/account caused by a postcode change and says this is affecting their ability to continue using Tesco. The conversation is explicitly framed around problems with the order and online account.","annotated","","","","","","","",""
"32061","8","3","5","32061","It's official... @Tesco red peppers are lovely &amp; red but taste of nothing #TasteTest https://t.co/dK6EomZCQM","It's official... @Tesco red peppers are lovely &amp; red but taste of nothing #TasteTest https://t.co/dK6EomZCQM || @Tesco Maybe pass 2 in-house quality control? &amp; support small producers w/greater focus on quality? chasing profit =mass production =poor quality || @Tesco really not bothered about  a refund - that's not the issue","@123090 Hi there, sorry about that! If you can DM over a few details, I'd be happy to pass this on to our suppliers. 1/4 || @123090 Can you send us your full name, postcode &amp; address and email please? We'll also need the details from the packaging if you have it. 2/4 || @123090 We'll need the barcode, SC code (should be on the front) and the expiry date. What store did you buy this from, and for how much? 3/4 || @123090 Do we have your permission to pass this on to our suppliers? Would you prefer a refund by post or email? Thanks - Josh 4/4 https://t.co/py5Z991Bme || @123090 Hi there, can you please provide the details my colleague has asked so we can log this for you? TY - Rian","not_annotated","32061","It's official... @Tesco red peppers are lovely &amp; red but taste of nothing #TasteTest https://t.co/dK6EomZCQM","product_quality","high","yes","no","Customer reports that Tesco red peppers have poor taste/quality. Refund is mentioned later but explicitly rejected as the underlying issue.","annotated","","","","","","","",""
"34737","2","1","1","34737","@Tesco just visited great Notley Essex why don't you stock a basic calculator for £1 to £3 as don't need £9.99 scientific one?","@Tesco just visited great Notley Essex why don't you stock a basic calculator for £1 to £3 as don't need £9.99 scientific one?","@123536 Hi there, I'm sorry you couldn't get a basic calculator, what store was this? I can check if they stock it. Ty - Marian","not_annotated","34737","@Tesco just visited great Notley Essex why don't you stock a basic calculator for £1 to £3 as don't need £9.99 scientific one?","product_availability","high","no","no","Customer asks Tesco to stock a basic calculator at a particular store; underlying issue is product availability.","annotated","","","","","","","",""
"38283","4","1","3","38283","So gross. Eating a white chocolate cookie from @Tesco and it’s got a long thick dark hair in it🤢🤢 https://t.co/2dhdFKwiSt","So gross. Eating a white chocolate cookie from @Tesco and it’s got a long thick dark hair in it🤢🤢 https://t.co/2dhdFKwiSt","@124322 Hey Holly, I'm sorry you have found a hair in you cookie, could you please DM me a few details so I can get this logged for you? 1/3 || @124322 Can you please send me your full name, address, email, bar code, store of purchase, price and date of purchase? 2/3 || @124322 Also can I pass your details to our supplier just in case they want to contact you? TY - Rian 3/3","not_annotated","38283","So gross. Eating a white chocolate cookie from @Tesco and it’s got a long thick dark hair in it🤢🤢 https://t.co/2dhdFKwiSt","product_safety_sensitive","high","no","no","Customer reports a hair/foreign object in a Tesco food product. Under the frozen safety-vs-quality rule, credible foreign-object contamination is classified as safety-sensitive.","annotated","","","","","","","",""
"38919","7","3","4","38919","Hi @Tesco bought a salad bowl from you and found a piece of plastic it in. I don’t think that’s one of my five a day. #hazard #foodsafety https://t.co/YTCPitgd64","Hi @Tesco bought a salad bowl from you and found a piece of plastic it in. I don’t think that’s one of my five a day. #hazard #foodsafety https://t.co/YTCPitgd64 || @Tesco Trying to disguise itself as lettuce but definitely not when I ate it. https://t.co/xgisFeLFmm || @Tesco Hey I’ve sent you a DM, the plastic got thrown away but I can send the rest back! Not happy though","@124494 Hi Fee, I'm really sorry that you found a piece of plastic in your salad pot. 1/4 || @124494 Would you be able to return the product to the any of our Extra/Super/Metro store and they will log this for you and give you a refund. 2/4 || @124494 Can you also DM ask for your full name, address, a clear photo of the product barcode and the supplier code so I can log this as well? 3/4 || @124494 Look forward to hearing back from you. Thanks - Mark 4/4","not_annotated","38919","Hi @Tesco bought a salad bowl from you and found a piece of plastic it in. I don’t think that’s one of my five a day. #hazard #foodsafety https://t.co/YTCPitgd64","product_safety_sensitive","high","no","no","Customer reports a plastic foreign object in a Tesco food product, creating a credible contamination/food-safety risk.","annotated","","","","","","","",""
"44180","2","1","1","44180","Is there nobody working today? @tesco","Is there nobody working today? @tesco","@125807 Hi there, I can see my colleagues have replied to your DM. Ty - James","not_annotated","44180","Is there nobody working today? @tesco","other_unclear","high","no","no","The customer asks whether anyone is working that day, but the conversation does not provide enough evidence to determine a specific underlying support intent. The Tesco response only refers to a DM.","annotated","","","","","","","",""
"46630","5","1","4","46630","@Tesco disgusting. https://t.co/fyDvd3oLye","@Tesco disgusting. https://t.co/fyDvd3oLye","@126364 Hi Ella. I'm very sorry to see your ginger is mouldy, I totally understand how frustrating that is. 1/4 || @126364 If you could DM me some details I can feed this back to our suppliers and also get you fully refunded? 2/4 || @126364 Can I get your full name (with title), address, email address, supplier code, price, date code and the store you bought this from? 3/4 || @126364 Are you ok with me passing your details onto our suppliers? Also would you prefer to be refunded via post or via email? Thanks, Calum 4/4","not_annotated","46630","@Tesco disgusting. https://t.co/fyDvd3oLye","product_safety_sensitive","high","no","no","The customer reports that the ginger is mouldy. This is a clear product-quality problem; the refund and supplier escalation are remedies rather than separate customer intents.","annotated","","","","","","","",""
"60380","6","2","4","60380","WARNING ! Do not buy @Tesco ripped jeans ! I wore them once and now the ‘hole’ on my knee is literally split to the zip ! #WasteOfMoney","WARNING ! Do not buy @Tesco ripped jeans ! I wore them once and now the ‘hole’ on my knee is literally split to the zip ! #WasteOfMoney || @Tesco Receipt may be an issue as because they fit I’m not sure I kept it !!!","@128085 I'm sorry to hear the jeans you purchased from us were not of the quality you would expect Kimberley. I can understand your concerns. 1/2 || @128085 Please can you return the jeans and your receipt back to my colleagues instore who will be able to help you further. TY - Jayne 2/2 || @128085 Hi Kimberley. No worries. Did you purchase them in under 30 days and used a Clubcard? 1/2 || @128085 If so go back to the original store and they'll be able to get your receipt and refund  or exchange the jeans for you. TY- Charlotte 2/2","not_annotated","60380","WARNING ! Do not buy @Tesco ripped jeans ! I wore them once and now the ‘hole’ on my knee is literally split to the zip ! #WasteOfMoney","product_quality","high","no","no","The customer reports that the jeans split after being worn once, indicating poor product quality. The receipt and refund/exchange discussion are follow-up handling details rather than separate intents.","annotated","","","","","","","",""
