review_id,conversation_id,evaluation_incoming_tweet_id,customer_message,human_intent,predicted_intent,intent_confidence,evidence_consistency,intent_correct,decision,decision_reason,draft_reply,top_retrieval_similarity,evidence_count,evidence,human_reply_quality,human_grounded,human_handling_decision,human_notes
1,1140135,1140135,"@Tesco 
Is the plastic bag for cauliflowers necessary?
#reduceplasticpackaging https://t.co/ANpY0sdDWi",feedback_suggestion,product_safety_sensitive,0.5846609090497312,0.6666666666666666,False,ESCALATE,Safety-sensitive issue requires human review before responding.,"Thanks for contacting Tesco. Because your message concerns a potentially safety-sensitive product issue, a colleague should review this before any further action.",0.2946523050891283,5,"[{""rank"": 1, ""similarity"": 0.2946523050891283, ""conversation_id"": ""2205650"", ""customer_message"": ""Bag for life?really Tesco! @Tesco https://t.co/fBPlPm5l4a"", ""tesco_response"": ""@644894 Hi Nik. I'm so sorry your bag for life has broken! If you take this bag with you the next time you visit one of our stores, my colleagues will give you a replacement for free! I hope this helps. Thank you. - Alisha.""}, {""rank"": 2, ""similarity"": 0.23979289897085582, ""conversation_id"": ""2192964"", ""customer_message"": ""Why is it like a COD mission just to get a plastic Bag at the self checkouts 🤷🏻‍♂️ #Tesco 🙄👀 @Tesco"", ""tesco_response"": ""@641830 Hi there, I'm sorry your having difficulty with capture the bag! 1/2""}, {""rank"": 3, ""similarity"": 0.23658304395988394, ""conversation_id"": ""700792"", ""customer_message"": ""#PointlessPlastics .... Yeah, okay @150711 certified &amp; my seafood risotto was scrumptious, but, individually wrapped pieces INSIDE the plastic bag @Tesco ? Let me guess, food 'safety' issue? Is it really necessary? You ALL do it supermarkets...pls stop! https://t.co/ZghJAd3EVR"", ""tesco_response"": ""@287264 @150711 We clearly still have more work to do to reduce the unnecessary plastic packaging, but rest assured we are working on it. As you've mentioned items like this have a minimum packaging requirement for food safety &amp; hygiene. Thanks - Cam 2/2""}, {""rank"": 4, ""similarity"": 0.22163434487881034, ""conversation_id"": ""2913731"", ""customer_message"": ""Really @Tesco? Why does a fennel bulb suddenly need to be sold in a plastic bag? https://t.co/MLJLKfPdJ7"", ""tesco_response"": ""@806584 I will just need you to DM me your full name, postcode and address. once I have this information I will get this logged for you. thanks - Lee 2/2""}, {""rank"": 5, ""similarity"": 0.21570229572925156, ""conversation_id"": ""461516"", ""customer_message"": ""@Tesco Cut down on the plastic"", ""tesco_response"": ""@255924 Hi Kim :) Can you elaborate please? Feel free to DM us if you would like to discuss your concerns in more detail. Cheers - Bryan""}]",1,2,AUTO_HANDLE,"The customer is asking about unnecessary plastic packaging, not reporting a safety incident. The draft incorrectly treats it as safety-sensitive and does not answer the actual question. Historical Tesco evidence supports addressing packaging policy and explaining food-safety/hygiene requirements."
2,1179809,1179809,@Tesco Why can’t I find these @49952 bags in any Tesco’s in Cardiff? https://t.co/uAKj70rYL9,product_availability,product_availability,0.3383090999778813,1.0,True,ESCALATE,Intent confidence is below the 0.70 threshold.,Thanks for contacting Tesco. We need a colleague to review your message before providing the appropriate response.,0.321893567127993,5,"[{""rank"": 1, ""similarity"": 0.321893567127993, ""conversation_id"": ""1283170"", ""customer_message"": ""@Tesco are these refills still available please? Can't find in any Tesco store? https://t.co/7JgEzvsW0M"", ""tesco_response"": ""@420173 Hi Martin, sorry to be a pain, but would you be able to send me a photograph of the barcode on the back of the refill can? TY - Struan""}, {""rank"": 2, ""similarity"": 0.2639624105157735, ""conversation_id"": ""2323927"", ""customer_message"": ""@Tesco Wow I have never seen these in any Tesco"", ""tesco_response"": ""@673289 Hi Liv. Have you got any idea what Tesco you are planning on visiting? I will look for availability for the two products in your chosen store:) Thanks, Calum""}, {""rank"": 3, ""similarity"": 0.25395302361058314, ""conversation_id"": ""2654140"", ""customer_message"": ""@Tesco why can’t I find Sourdough Loaves in any store? It’s the only bread my partner can eat due to dietary issues. 😩"", ""tesco_response"": ""@748412 Hi Dani, thank you for getting in touch, I would be more than happy to check stock availability in your local area, please can you DM your postcode? Kindest regards- Hannah.""}, {""rank"": 4, ""similarity"": 0.24074495692292025, ""conversation_id"": ""1284659"", ""customer_message"": ""@Tesco why can't I find f&amp;f branded jewellery on your website?"", ""tesco_response"": ""@420508 I'm sorry for any inconvenience caused. Have a lovely evening. Kind regards - Andy 2/2""}, {""rank"": 5, ""similarity"": 0.2255208387074716, ""conversation_id"": ""510596"", ""customer_message"": ""@Tesco Why?"", ""tesco_response"": ""@237315 Hi there, I can confirm it has been replaced with other similar products. TY - Joanne""}]",1,2,AUTO_HANDLE,"The intent is correctly identified as product availability, and the retrieved examples support checking local stock or asking for store/location details. However, the draft reply is generic and does not answer the availability question or use the relevant evidence."
3,1292131,1292131,Hey @51408 saw your wine in @Tesco today! Is it suitable for vegetarians? Didn't buy because it didn't say. TIA! 🙂,product_information_policy,product_information_policy,0.2939968168555605,1.0,True,ESCALATE,Intent confidence is below the 0.70 threshold.,Thanks for contacting Tesco. We need a colleague to review your message before providing the appropriate response.,0.3099861519096443,5,"[{""rank"": 1, ""similarity"": 0.3099861519096443, ""conversation_id"": ""1839607"", ""customer_message"": ""@Tesco is this product suitable for vegetarians? https://t.co/Lez7ktBtVO"", ""tesco_response"": ""@551323 Hi Rachel, as it's not indicated as being suitable for Vegetarians online, I wouldn't advise purchasing it. We do however sell a Vegetarian gravy here: https://t.co/KDRLdsGmwT - Emma""}, {""rank"": 2, ""similarity"": 0.30047960407527674, ""conversation_id"": ""1767586"", ""customer_message"": ""Hi @Tesco ... is this product suitable for vegetarians? https://t.co/S2LsMsEz7y"", ""tesco_response"": ""@531488 Hi Denise, thanks for getting in touch! I can confirm it is indeed suitable for vegetarians! Regards - Martin""}, {""rank"": 3, ""similarity"": 0.22649412277817305, ""conversation_id"": ""1767586"", ""customer_message"": ""@Tesco hi ... are these suitable for vegetarians? App isn't showing all the normal info 😬 https://t.co/YS8LObXQyP"", ""tesco_response"": ""@531488 Hi Denise, I'll just look into this for you. I'll try not to keep you waiting. - Rocsi""}, {""rank"": 4, ""similarity"": 0.2186107950440676, ""conversation_id"": ""2531080"", ""customer_message"": ""No Artifical Flavours...yeah @Tesco there’s definitely something artificial about steak crisps that are suitable for vegetarians #seemslegit https://t.co/wjdvuQOGV1"", ""tesco_response"": ""@720445 Hey Hannah, check your DM's. I've provided you with some info on how this is possible. - Rocsi""}, {""rank"": 5, ""similarity"": 0.21312982268248534, ""conversation_id"": ""637902"", ""customer_message"": ""@Tesco Today"", ""tesco_response"": ""@271252 Hi Thomas, thank you for your reply. Did you speak to any of my colleagues in store about this and also can you let me know which store this was in? Thanks - Gemma""}]",1,2,AUTO_HANDLE,"The intent is correctly identified as product information/policy, and the retrieved Tesco examples directly address vegetarian suitability. The draft is generic and provides no useful answer despite strong supporting evidence, so the case could be handled automatically with a grounded response."
4,761822,761822,"@Tesco @146822 Sunbites purchased full price on Sunday 8th Oct, just noticed the Best Before was the 7th Oct 🤔 https://t.co/6wsIRlosMY",product_quality,pricing_payment,0.3466829740547725,1.0,False,ESCALATE,Intent confidence is below the 0.70 threshold.,Thanks for contacting Tesco. We need a colleague to review your message before providing the appropriate response.,0.2564453025331394,5,"[{""rank"": 1, ""similarity"": 0.2564453025331394, ""conversation_id"": ""1694003"", ""customer_message"": ""@Tesco Yes George. Best before the 7th. F"", ""tesco_response"": ""@514048 Would you be able to return the product to the any of our Extra/Super/Metro store and they will log this for you and give you a refund. 2/4""}, {""rank"": 2, ""similarity"": 0.18770494184071151, ""conversation_id"": ""1955890"", ""customer_message"": ""@Tesco just an FYI I bought some tesco own porridge on 25th october and just saw its best before was the 10th oct 2017. Alwoodley store"", ""tesco_response"": ""@580490 Your full name, full address, email, the barcode, SC code and would you like a refund by post or email? 3/4""}, {""rank"": 3, ""similarity"": 0.17236448891671594, ""conversation_id"": ""486977"", ""customer_message"": ""@Tesco I ordered chicken for home delivery on 28th and just noticed the date of the chicken is 29th when it's guaranteed 4+ Days https://t.co/NofibFOWHc"", ""tesco_response"": ""@230879 Hi Beck, I'm so sorry to see that we've sent this product out. Please can you DM your name, address, order number and email address so I can refund this and report the mistake to our Manager? - Thanks - Matt""}, {""rank"": 4, ""similarity"": 0.1710929327869709, ""conversation_id"": ""960841"", ""customer_message"": ""@Tesco They close at 4:00pm on a Sunday. Not 3:37am on Sunday,"", ""tesco_response"": ""@128928 Hi Thomas, they open at 10am on a Sunday. :) - Danny""}, {""rank"": 5, ""similarity"": 0.1666522782528562, ""conversation_id"": ""766769"", ""customer_message"": ""@Tesco Oh mann just went to cook dinner and was faced with this ☹ only bought these yesterday best before date 19th Oct! https://t.co/y4aXf2XBXF"", ""tesco_response"": ""@303244 Could you DM me your name, address, email address as well as the barcode and supplier code on the product packaging? 3/4""}]",1,2,ESCALATE,"The customer is reporting a product with an expired best-before date, so the predicted pricing intent is incorrect. The retrieved Tesco examples support refunding or investigating the product issue, but the current draft is generic and does not address the reported problem, so human review is appropriate."
5,102252,102252,@Tesco tried to buy a baby toy in store today got to till to be told I can’t buy it! Staff rude no explanation #rude#notoy4baby!!!!!!,store_staff_service,store_staff_service,0.5179698243614934,0.6666666666666666,True,ESCALATE,Intent confidence is below the 0.70 threshold.,Thanks for contacting Tesco. We need a colleague to review your message before providing the appropriate response.,0.1913792332489421,5,"[{""rank"": 1, ""similarity"": 0.19137923324894213, ""conversation_id"": ""397889"", ""customer_message"": ""@Tesco Is it possible to buy it digitally?"", ""tesco_response"": ""@482788 Hi there, how can I help you? What is it your looking to buy? - Beth""}, {""rank"": 2, ""similarity"": 0.18888243275417538, ""conversation_id"": ""1409798"", ""customer_message"": ""@Tesco trying to buy a game from your store take it to the till sorry you can’t buy it here you need click and collect no staff on there"", ""tesco_response"": ""@447686 Hey Ross, I'm so sorry about this. Can you please let me know which store you visited and the name of the colleague you spoke to? - Kirsten""}, {""rank"": 3, ""similarity"": 0.17729766773450184, ""conversation_id"": ""2767660"", ""customer_message"": ""@Tesco tried to buy some chicken in the ‘reduced’ section as the use by date is today!When I got to the till it tried to charge me full price &amp; when I told the manager she laughed!There were loads in there so probably lots of people have fallen for it #scam #misleadingcustomers"", ""tesco_response"": ""@773915 Hi Charlotte, I`m sorry about the experience you had in store regarding reduced chickens. Please can you DM us your name,address, postcode and the store you visited as we`d like to get this looked into. TY - Stewart""}, {""rank"": 4, ""similarity"": 0.1754214195830092, ""conversation_id"": ""1565303"", ""customer_message"": ""#oneofthosedays 2/ tried to buy Malaria tabs @Tesco “can’t as no pharmacist to prescribe “ go back Monday 😩"", ""tesco_response"": ""@438983 Hi Jules. I am sorry that there was no pharmacist in store. What store did visit today? TY - Amanda""}, {""rank"": 5, ""similarity"": 0.16593066624499048, ""conversation_id"": ""2687213"", ""customer_message"": ""@Tesco NOT HAPPY just tried scan as u shop for the very first time and last time seemed ok got to the till to be told it’s a faulty handset and I had to take EVERYTHING out the bags and be put to a manned checkout #embarrassing #upset #annoyed #wastedtime"", ""tesco_response"": ""@504850 Hi Keith, sorry that you felt embarrassed. Sometimes this can happen. We do explain this when you sign up &amp; agree to our t's &amp; c's. For more information please visit: https://t.co/1Ft7eNRlAC - Laura""}]",1,2,ESCALATE,"The intent is correctly identified as store/staff service, and the historical examples support asking for the store and colleague details so the issue can be investigated. The draft is generic and does not address the customer's complaint about rude staff or the inability to purchase the toy, so escalation is appropriate."
6,112068,112068,"@Tesco what is it with the hand hald scanner, every time you use it they check your bags, (not thoroughly) are they suggesting (again) I am a thief. I am disgusted. May not use it again, what's the point of having it?",store_staff_service,product_information_policy,0.2973304059312977,0.0,False,ESCALATE,Intent confidence is below the 0.70 threshold.,Thanks for contacting Tesco. We need a colleague to review your message before providing the appropriate response.,0.184938450198775,5,"[{""rank"": 1, ""similarity"": 0.18493845019877508, ""conversation_id"": ""1802377"", ""customer_message"": ""@Tesco what’s the point of having spaces for 2 cars and 4 members of staff to load one customers shopping! https://t.co/Bmjga7RLA8"", ""tesco_response"": ""@541575 Hi, I'm sorry about this. Could you please DM your full name, address &amp; postcode so I can report this to the Store Management Team? - Dani""}, {""rank"": 2, ""similarity"": 0.17822993765150852, ""conversation_id"": ""541695"", ""customer_message"": ""@Tesco Misty has found a new use of your bags #catinabag https://t.co/TipQdyannN"", ""tesco_response"": ""@245700 Wow. I can't believe you've discovered the true use for them Amelia.....well, I guess the cat is out of the bag now! - Paige""}, {""rank"": 3, ""similarity"": 0.17692254463837684, ""conversation_id"": ""2537683"", ""customer_message"": ""@Tesco what is the point of having 10 self-checkout machines when all the time are at least 7 of them off? #tesco #slovakia"", ""tesco_response"": ""@721804 I'm sorry for the inconvenience caused Marek, I can't help you from here though. Please contact our colleagues in Tesco Slovakia, their website can be accessed at the following link: https://t.co/Cf02Yb5ntI I hope this helps, Leah.""}, {""rank"": 4, ""similarity"": 0.1640979535742054, ""conversation_id"": ""1625115"", ""customer_message"": ""@Tesco when are you going to stop anyone parking in spaces meant for #disabledpeople. What’s the point of having them?"", ""tesco_response"": ""@497691 Hi Dawn, I'm really sorry about this. I do understand how frustrating this must be. 1/2""}, {""rank"": 5, ""similarity"": 0.1639166486201581, ""conversation_id"": ""2240894"", ""customer_message"": ""@Tesco Halal roasting joint. Confused - What's the point of having a muslim family in the ad if not including them by catering for them? 🤔"", ""tesco_response"": ""@653346 Hi Zohra, I'm sorry for the dissapoitment. Unfortunately, we will not be selling a Halal roasting joint either. TY - Eve""}]",1,2,ESCALATE,"The customer is complaining about the self-service scanning process and feeling unfairly treated by store staff, so the correct intent is store/staff service rather than product information. The retrieved evidence supports store-management escalation, but the draft is generic and does not address the customer's complaint."
7,73791,73791,"@119373  @Tesco  how about following suit, #tesco? Supermarkets back plastic bottle refunds 

https://t.co/LVcoXnz35w",feedback_suggestion,product_safety_sensitive,0.628484602574462,0.0,False,ESCALATE,Safety-sensitive issue requires human review before responding.,"Thanks for contacting Tesco. Because your message concerns a potentially safety-sensitive product issue, a colleague should review this before any further action.",0.3189151599120853,5,"[{""rank"": 1, ""similarity"": 0.3189151599120853, ""conversation_id"": ""2323734"", ""customer_message"": ""@Tesco How about a new years pizza?"", ""tesco_response"": ""@673258 Hi Mark, similarly we don't unfortunately. We are working on a 'resolution' though... :) TY - Ryan""}, {""rank"": 2, ""similarity"": 0.31703259249482385, ""conversation_id"": ""1391507"", ""customer_message"": ""@Tesco how’s about a reply Tesco???"", ""tesco_response"": ""@443637 Hi there, can you let me know which store you've tried to redeem this voucher in? Can you DM a photo of both sides of voucher? TY - Joanne""}, {""rank"": 3, ""similarity"": 0.19240127109720262, ""conversation_id"": ""1672102"", ""customer_message"": ""Hey @Tesco how about doing something about this bus stop at Footscray? No timetable and panels smashed #unsightly #notcustomerfriendly https://t.co/651UeatgyY"", ""tesco_response"": ""@508933 Hi Dave, I'll find out more about this. Is this the stop at our Sidcup Superstore? Charlotte""}, {""rank"": 4, ""similarity"": 0.18581637789545918, ""conversation_id"": ""1678645"", ""customer_message"": ""@Tesco how? https://t.co/4yXZSMlb5t"", ""tesco_response"": ""@510559 Hi Rory, if you DM me I can give you the answer, make sure we don't spoil it for anyone else :) - Meg""}, {""rank"": 5, ""similarity"": 0.1800076831701912, ""conversation_id"": ""329142"", ""customer_message"": ""@Tesco How about the quick shopping list. I always use it."", ""tesco_response"": ""@123714 Hi Jude, We can now report that the 'Shopping List' function is expected to return in the near future :) Kind regards - James""}]",1,1,AUTO_HANDLE,"The customer is making a sustainability suggestion rather than reporting a safety issue, so the predicted safety intent is incorrect. The retrieved evidence is only loosely related and does not provide a clear historical response pattern, while the current draft is generic and does not address the suggestion."
8,143025,143025,@Tesco when are xmas delivery slots available for delivery saver subscribers?,product_information_policy,delivery_order,0.8998663208746263,1.0,False,AUTO_HANDLE,"Routine intent with sufficient classifier confidence, retrieval strength, and intent-evidence consistency.",Sorry to hear about the issue with your delivery. Please provide your order details and let us know which item or items were affected so we can check this. Similar historical Tesco cases were handled by reviewing the issue and gathering the relevant details.,0.5348811764240389,5,"[{""rank"": 1, ""similarity"": 0.5348811764240389, ""conversation_id"": ""2473856"", ""customer_message"": ""@Tesco Hi guys - when are the xmas delivery slots available? (London) Cheers!"", ""tesco_response"": ""@613773 Hi Tom thanks for getting in touch, if you follow my link it will take you to all the information you need on our Christmas slots :) https://t.co/86aozZvQG5 hope this helps - Mike""}, {""rank"": 2, ""similarity"": 0.5088282444017189, ""conversation_id"": ""478147"", ""customer_message"": ""@Tesco when are the priority booking slots available for delivery saver account holders please"", ""tesco_response"": ""@228601 Hi Jackie thanks for getting in touch. The priority Christmas slots for our delivery saver customers were released on the 26th of November &amp; are now available for you to book :) hope this helps - Mike""}, {""rank"": 3, ""similarity"": 0.4854731798765181, ""conversation_id"": ""2827733"", ""customer_message"": ""@Tesco When are the delivery slots for New Year’s Eve available for booking for Delivery Saver customers please? 🍾🥂"", ""tesco_response"": ""@787597 Hi Hilary, there are no priority slots for New Year's Eve. This means they'll become available three weeks in advance. - Helena""}, {""rank"": 4, ""similarity"": 0.40629268391667206, ""conversation_id"": ""673351"", ""customer_message"": ""@Tesco are the Xmas delivery slots available today ? I can’t see any"", ""tesco_response"": ""@280613 Hi Steve, these are available from the 26th November if you're a Delivery Saver customer :) Thanks - Emma""}, {""rank"": 5, ""similarity"": 0.40048227409680265, ""conversation_id"": ""611520"", ""customer_message"": ""@Tesco When are the Christmas Delivery slots available for Delivery Savers? I can see the general release dates online but not the priority dates."", ""tesco_response"": ""@265402 Hi Emma, these are available from 26th November. Charlotte""}]",0,2,AUTO_HANDLE,"The customer is asking for information about Christmas delivery-slot release dates, but the model incorrectly classifies it as a delivery problem. The retrieved evidence is highly relevant and directly answers the question, but the draft incorrectly asks for order details and does not provide the available slot information."
9,694055,694055,"@Tesco hi, is there any way you can check stock at a store? I don’t want to call and 03 number to be told the item I want isn’t available. Thank you",product_availability,product_availability,0.6865135870894211,0.3333333333333333,True,ESCALATE,Intent confidence is below the 0.70 threshold.,Thanks for contacting Tesco. We need a colleague to review your message before providing the appropriate response.,0.2700065577124417,5,"[{""rank"": 1, ""similarity"": 0.2700065577124417, ""conversation_id"": ""582277"", ""customer_message"": ""@Tesco hiya, is there a way you can check stock for something at one of your stores please?"", ""tesco_response"": ""@257257 Hi Naomi, there is indeed, if you DM me your postcode and the product you're looking for I can check stock availability in stores near you :). Regards - Peter https://t.co/py5Z991Bme""}, {""rank"": 2, ""similarity"": 0.20819187901739014, ""conversation_id"": ""397889"", ""customer_message"": ""@Tesco Hi, the allies keep winning when I play. Is there any way to change this?"", ""tesco_response"": ""@621658 Aye? Am I missing something? #TalkToMe - Leighton""}, {""rank"": 3, ""similarity"": 0.20607177796313467, ""conversation_id"": ""1680290"", ""customer_message"": ""@Tesco hi, is there any way I can 'top up' my club card with cash?"", ""tesco_response"": ""@510943 Hi Iain, thanks for getting in touch. the only way to add cash on to your Clubcard account is to join the Xmas savers club. 1/3""}, {""rank"": 4, ""similarity"": 0.19719182158326296, ""conversation_id"": ""1205895"", ""customer_message"": ""@Tesco hi there can you tell me the phone number to call Tesco Coonagh Cross #Limerick please ?"", ""tesco_response"": ""@403205 Hi Jason :) The telephone number for our Coonagh Superstore is: 1890924821 I hope this helps! - Mat""}, {""rank"": 5, ""similarity"": 0.18687625150431883, ""conversation_id"": ""608576"", ""customer_message"": ""@Tesco hi is there a problem with the app? I can’t check out keep getting this! 😳 https://t.co/2I7FcoSQax"", ""tesco_response"": ""@264649 Hi Barbs, I'm sorry to hear your having issues. Can I ask if this is the Grocery or Direct website you are having issues with? TY - Chirs""}]",1,2,AUTO_HANDLE,"The product availability intent is correctly identified, and the top historical example directly supports checking nearby store stock using the postcode and product details. The draft is generic and fails to use this relevant evidence, so it could be improved with a specific stock-check response."
10,507480,507480,"oh surprise surprise, being pissed about by @Tesco yet again, seriously considering knocking it on the head now #toomantchances #verylittlehelp",delivery_order,product_quality,0.2036914146618355,0.3333333333333333,False,ESCALATE,Intent confidence is below the 0.70 threshold.,Thanks for contacting Tesco. We need a colleague to review your message before providing the appropriate response.,0.1932922473929963,5,"[{""rank"": 1, ""similarity"": 0.1932922473929963, ""conversation_id"": ""443405"", ""customer_message"": ""@Tesco yet again selling out of date food again #Tesco #OutOfDateFood #StandardsDropping #TesocExtraClarkstonAirdrie https://t.co/f1dklmut4l"", ""tesco_response"": ""@220057 Hi Katie, I'm sorry you found out of date product.s Did you advise a colleague at the store today? Can you confirm you're referring to Airdrie Superstore, Airdrie Retail Park, ML6 9JB? TY - Joanne""}, {""rank"": 2, ""similarity"": 0.17036678757306792, ""conversation_id"": ""152259"", ""customer_message"": ""@Tesco Yet again, lunch time in Tesco Acton! What is the problem? https://t.co/xDMXVQPbVB"", ""tesco_response"": ""@150798 Hi Nick, I am very sorry to see this. Can I ask which Acton store this is, as there is quite a few? I will then give the store a call to enquire about it. Ty, Andy""}, {""rank"": 3, ""similarity"": 0.1630662405150891, ""conversation_id"": ""1666441"", ""customer_message"": ""@406704 @322075 @406705 yet again car left in a clearly marked no parking area at @Tesco, yet again ignored by the staff. https://t.co/CcGKKhk7Ze"", ""tesco_response"": ""@322406 Hi Jamie, I'm really sorry to hear that our staff are looking the other way with this car. Can you please let me know which store this was in and what time? - Nick""}, {""rank"": 4, ""similarity"": 0.15690066802661565, ""conversation_id"": ""787348"", ""customer_message"": ""@Tesco Yet again I am here for my appointment. No optician. Disgraceful. Second time."", ""tesco_response"": ""@307808 Hi Ray, I am very sorry about this. Did you discuss this with the Opticians manager? - Allyn""}, {""rank"": 5, ""similarity"": 0.14648192067457927, ""conversation_id"": ""1559444"", ""customer_message"": ""Yet again ANOTHER off product sold by @Tesco - this is shocking. https://t.co/vFdkhZ67cf"", ""tesco_response"": ""@363342 We'll then be able to record this data to ensure that our suppliers are aware. We can also offer you a Tesco Moneycard. 3/4""}]",1,1,ESCALATE,"The message expresses repeated dissatisfaction but does not identify the underlying problem, so the delivery intent is not well supported. The retrieved evidence is only weakly related to the customer's actual issue, and the generic draft does not clarify what went wrong, so human review is appropriate."
