review_id,llm_reply_quality,llm_grounded,llm_handling_decision,llm_reason
1,1,1,ESCALATE,"The customer is providing feedback/suggestion about plastic packaging on cauliflowers. The agent misclassified it as safety-sensitive and generated a canned holding response. While escalation is appropriate due to the ambiguous nature of handling environmental feedback without a direct policy match, the reply itself is overly cautious and generic."
10,2,2,ESCALATE,"The customer message is vague and expresses frustration without providing specific details about the issue (e.g., delivery vs. in-store, order number). The agent correctly chose to escalate due to low intent confidence and lack of specific information."
11,2,2,ESCALATE,"The agent correctly identified that the intent confidence was too low and routed the message for human review, using a safe escalation draft reply."
12,0,0,ESCALATE,"The agent draft reply is merely a routing message stating a colleague needs to review the message, and the agent correctly identified low intent confidence and escalated the case due to ambiguity and lack of direct resolution."
13,2,2,ESCALATE,"The draft reply correctly states that a colleague needs to review the message, which aligns with the escalation decision made due to low intent confidence and a complex store-level pricing/stock issue."
14,0,0,AUTO_HANDLE,"The customer is simply asking about the availability of sweet chilli tortilla wraps, which is a routine product inquiry and not safety-sensitive. The agent incorrectly escalated it based on a false safety-sensitive intent prediction and provided an unhelpful deflection draft reply instead of checking product availability."
15,2,2,ESCALATE,"The customer is expressing extreme dissatisfaction with a delivery driver's service and stating they are leaving. The agent correctly identified low intent confidence and routed the issue for human escalation, while providing a safe, standard escalation holding reply."
16,2,2,ESCALATE,"The issue involves suspected food poisoning, which is a safety-sensitive matter requiring human review. The agent correctly chose to escalate and provided an appropriate, safe holding response."
17,0,0,ESCALATE,"The agent confidence score is low, and the draft reply is just a placeholder stating human review is needed, rather than addressing the missing petrol voucher directly."
18,2,2,ESCALATE,The agent draft appropriately defers to a human colleague because the intent confidence is well below the threshold and the customer is experiencing technical issues with the website.
19,0,2,ESCALATE,"The customer is reporting an unactivated Microsoft Office purchase from a specific store where staff refused to help. The agent's draft reply is a standard escalation placeholder rather than a substantive answer, but escalation is correct due to the store-specific operational issue, low intent confidence, and lack of a direct policy match in the historical evidence."
2,0,0,ESCALATE,The draft reply is a boilerplate escalation message rather than an answer to the customer's product availability query. Escalation is appropriate due to low intent confidence and the need for specific store stock checking.
20,0,1,ESCALATE,"The customer is complaining about a missing delivery and no redelivery time, but the agent's draft is just a placeholder stating a colleague needs to review. The issue involves a complex delivery failure requiring human intervention, and the agent's intent confidence is low."
21,2,2,ESCALATE,"The customer reported a foreign object (plastic) in food, which is a safety-sensitive issue requiring human review. The agent correctly identified the intent, escalated the case, and provided an appropriate draft stating that a colleague needs to review it."
22,2,2,ESCALATE,"The customer is complaining about single use plastic, which matches historical evidence regarding packaging concerns, but the agent's decision to escalate due to perceived safety sensitivity is appropriate given the ambiguity of the tweet."
23,2,2,ESCALATE,"The issue involves a product safety-sensitive complaint with an attached image link. The agent correctly identified the need for escalation due to safety sensitivity, and the draft reply appropriately informs the customer that a colleague will review it."
24,0,0,ESCALATE,The agent draft reply is a generic escalation placeholder rather than an operational response. Escalation is appropriate here because the agent misclassified the intent (product availability vs. product quality/out of date) and confidence was low.
25,0,0,AUTO_HANDLE,"The customer's message is a positive review/compliment about a vegan wine. The agent incorrectly classified it as safety-sensitive and provided an unnecessary escalation reply, whereas historical evidence shows simple, friendly acknowledgments are standard for positive feedback."
26,2,2,ESCALATE,"The issue involves a foreign object (hair) in food, which is a safety-sensitive matter requiring human review. The draft reply appropriately acknowledges this and explains that a colleague will review it."
27,0,2,ESCALATE,"The customer is asking for troubleshooting help regarding a staff discount not applying at checkout, which requires account-specific assistance and human handling due to low intent confidence and lack of specific resolution evidence."
28,0,2,ESCALATE,The customer is reporting a safety hazard (icy car park at Parkhead store) and poor in-store staff response. The agent correctly chose to escalate due to low intent confidence and the need for human review on safety/facility issues.
29,0,2,ESCALATE,"The agent draft reply is a generic escalation message rather than answering the customer's question, but the escalation decision is correct due to low intent confidence and the need for specific store/stock checks."
3,2,2,ESCALATE,"The agent correctly chose to escalate because the intent confidence was below the threshold and the retrieved historical evidence contains conflicting examples regarding whether a product without a vegetarian label is suitable or not, introducing ambiguity."
30,0,0,AUTO_HANDLE,"The customer's message is a positive thank-you post about supporting #HealthyKids and does not contain a safety-sensitive issue. The agent misclassified the intent and incorrectly escalated it, providing an inappropriate safety response."
31,2,2,ESCALATE,The customer is complaining about poor product quality regarding embroidered uniforms and unresponsive email support. The agent correctly identified low intent confidence and escalated the case appropriately. The draft reply correctly states that a colleague needs to review the message.
32,0,2,ESCALATE,The customer was overcharged by 50p on baby vests and does not have a receipt. The agent draft reply merely states that a colleague needs to review the message. The handling decision to escalate is correct because the low intent confidence and lack of a receipt require human review.
4,1,2,ESCALATE,"The agent draft reply is a placeholder stating a colleague needs to review, which is safe but generic. The handling decision to escalate is correct due to low intent confidence (0.35) and the need to handle a product quality/out-of-date complaint properly."
5,2,2,ESCALATE,"The draft reply appropriately defers the message for human review due to the customer's complaint about rude staff and a store-specific issue, which aligns with the agent's escalation decision."
6,1,2,ESCALATE,"The agent correctly chose to escalate because the intent confidence was very low and the issue involves customer dissatisfaction with store security/checking policies, which requires human handling."
7,0,0,ESCALATE,"The customer's message is a social media suggestion/feedback about plastic bottle refunds, not a safety-sensitive issue. The agent incorrectly classified it as safety-sensitive and provided an unhelpful, generic canned response about safety. However, since the agent's draft and intent classification were incorrect and there is no clear historical evidence on how to handle plastic bottle refund suggestions automatically, escalation is appropriate due to ambiguity and incorrect handling by the automated model."
8,0,0,ESCALATE,"The draft reply incorrectly treats the inquiry as an issue with an existing delivery and asks for order details, completely failing to answer the customer's question about Christmas delivery slots, and contradicts the retrieved historical evidence."
9,0,0,ESCALATE,"The draft reply is a generic escalation placeholder rather than an actual answer to the customer's question about stock availability. Furthermore, the intent confidence is below the threshold, making escalation appropriate."
